suffix	DeviceSerialNumber	task	acq	BandwidthPerPixelPhaseEncode	BaseResolution	CoilCombinationMethod	CoilString	DwellTime	EchoTime	EchoTrainLength	EffectiveEchoSpacing	FlipAngle	FrequencyEncodingSteps	ImageOrientationPatientDICOM	ImageType	ImagingFrequency	InPlanePhaseEncodingDirectionDICOM	MRAcquisitionType	MagneticFieldStrength	Manufacturer	ManufacturersModelName	MultibandAccelerationFactor	NonlinearGradientCorrection	ParallelAcquisitionTechnique	PartialFourier	PercentPhaseFOV	PercentSampling	PhaseEncodingDirection	PhaseEncodingSteps	PhaseResolution	PixelBandwidth	PulseSequenceDetails	PulseSequenceName	ReceiveCoilActiveElements	ReceiveCoilName	ReconMatrixPE	RefLinesPE	RepetitionTime	ScanOptions	ScanningSequence	SequenceVariant	SliceThickness	SliceTiming	SoftwareVersions	SpacingBetweenSlices	TotalReadoutTime	VendorReportedEchoSpacing	phantom	InversionTime	MatrixCoilMode	ParallelReductionFactorInPlane	PhaseEncodingStepsOutOfPlane	DiffusionScheme	PartialFourierDirection	bval	bvec	PhaseEncodingAxis	WaterFatShift	dcmmeta_affine	dcmmeta_reorient_transform	dcmmeta_shape	dcmmeta_slice_dim	dcmmeta_version	BitsStored	ConsistencyInfo	SequenceName	dir	PartialFourierEnabled	PhaseEncodingStepsNoPartialFourier	PhaseEncodingPolarityGE	DiffGradientCyclingGE	NumberOfDiffusionDirectionGE	NumberOfDiffusionT2GE	TensorFileNumberGE	NumberOfExcitations
T1w	66022				256.0	Adaptive Combine	HeadNeck_64	1.22e-05	0.00307			8	256.0	[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'M', 'NONE']	123.257169	COL	3D	3	Siemens	MAGNETOM Prisma		False	GRAPPA	1.0	100.0	100.0		256.0	1.0	160.0	%SiemensSeq%\tfl	*tfl3d1_182	['HC1-6', 'HC3-6', 'HC1-7', 'HC1-7;NC1', 'HC1-7;NC1,2', 'HC1-7;NC2;SP1', 'HC3-7;NC1', 'HEA;HEP', 'HC1,3-7;NC1']	HeadNeck_64	256	24.0	2.5	IR	GR\IR	SK\SP\MP	1.0		syngo MR XA60				False	1.06	GRAPPA	2.0	154.0		SLICE_SELECT																					
T1w	66022				256.0	Sum of Squares	HeadNeck_64	8.2e-06	0.00614			15	256.0	[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'M', 'NONE']	123.257356	COL	2D	3	Siemens	MAGNETOM Prisma		True		1.0	81.25	100.0	j-	208.0	1.0	238.0	%SiemensSeq%\gre	*fl2d1r	['HC1-6', 'HC3-6', 'HC1-7', 'HC1-7;NC1', 'HC1-7;NC1,2', 'HC1-7;NC2;SP1', 'HC3-7;NC1', 'HEA;HEP', 'HC1,3-7;NC1']	HeadNeck_64	208		0.15		GR	SP	5.0		syngo MR XA60	5.0			True		SENSE																									
T1w	70032				256.0	Adaptive Combine		1.09e-05	0.00284			8		[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'M', 'ND']	123.210994	COL	3D	3	Siemens	Skyra_fit		False		1.0	100.0	100.0		255.0	1.0	180.0	%CustomerSeq%\tfl_mgh_epinav_ABCD		['HC1-6', 'HC3-6', 'HC1-7', 'HC1-7;NC1', 'HC1-7;NC1,2', 'HC1-7;NC2;SP1', 'HC3-7;NC1', 'HEA;HEP', 'HC1,3-7;NC1']	HeadNeck_64	256	24.0	2.5	IR	GR\IR	SK\SP\MP	1.0		syngo MR E11				False	1.06	GRAPPA	2.0								[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0], [0.0, 0.0, 0.0]]	[[0.0, -1.0, 0.0, 255.0], [-1.0, 0.0, 0.0, 255.0], [0.0, 0.0, -1.0, 175.0], [0.0, 0.0, 0.0, 1.0]]	[256, 256, 176]	2.0	0.6	12.0	N4_VE11C_LATEST_20160120	tfl3d1_16									
T1w	70032				256.0	Sum of Squares		8.1e-06	0.00606			15		[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'M', 'NORM', 'DIS2D']	123.211174	COL	2D	3	Siemens	Skyra_fit		True		1.0	81.25	100.0	j-	208.0	1.0	240.0	%SiemensSeq%\gre		['HC1-6', 'HC3-6', 'HC1-7', 'HC1-7;NC1', 'HC1-7;NC1,2', 'HC1-7;NC2;SP1', 'HC3-7;NC1', 'HEA;HEP', 'HC1,3-7;NC1']	HeadNeck_64	208		0.15		GR	SP	5.0	[0, 0.08594, 0.01562, 0.10156, 0.03125, 0.11719, 0.05469, 0.13281, 0.07031]	syngo MR E11	5.0			True		SENSE									[[-0.859375, 0.0, 0.0], [0.0, 0.859375, 0.0], [0.0, 0.0, 5.000000953674316], [0.0, 0.0, 0.0]]	[[0.0, -1.0, 0.0, 207.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 8.0], [0.0, 0.0, 0.0, 1.0]]	[256, 208, 9]	2.0	0.6	12.0	N4_VE11C_LATEST_20160120	*fl2d1r									
T1w	71399						MULTI COIL		0.002999	150.0	1.6196e-05	8	256.0	[0, 1, 0, 0, 0, -1]	['ORIGINAL', 'PRIMARY', 'M', 'FFE', 'M', 'FFE']	127.767152	ROW	3D	3	Philips	Ingenia			SENSE		93.75	78.5398		256.0		241.0		T1TFE			256		0.0066582	OTHER	GR	MP	1.0		5.6.1\5.6.1.3	1.0	0.00412997		False			2.0	225.0					i	1.80605	[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0], [0.0, 0.0, 0.0]]	[[0.0, 0.0, -1.0, 255.0], [0.0, -1.0, 0.0, 255.0], [-1.0, 0.0, 0.0, 224.0], [0.0, 0.0, 0.0, 1.0]]	[225, 256, 256]	0.0	0.6	12.0											
T1w	71399						MULTI COIL		0.005803		8.13176e-06	15	256.0	[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'M', 'FFE', 'M', 'FFE']	127.766832	ROW	2D	3	Philips	Ingenia					100.0	100.0		256.0		241.0		FFE			256		0.15	FC	GR	SS	5.0		5.6.1\5.6.1.3	6.0	0.0020736		True				1.0					i	1.80157	[[-0.859375, 0.0, 0.0], [0.0, 0.859375, 0.0], [0.0, 0.0, 6.0], [0.0, 0.0, 0.0]]	[[0.0, -1.0, 0.0, 255.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 8.0], [0.0, 0.0, 0.0, 1.0]]	[256, 256, 9]	2.0	0.6	12.0											
bold	000000000UM750MR	cuff					RM:Nova32ch		0.03		0.000580764	52		[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'OTHER']	127.767035	COL	2D	3	GE	Discovery MR750	6.0				100.0	100.0	j			5555.56		research/ABCD/muxepi			90		0.8	SAT_GEMS\EDR_GEMS\MP_GEMS\EPI_GEMS\HYPERBAND_GEMS\PFF\FS	EP\RM	NONE	2.4	[0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64]	30\LX\SIGNA_LX1.MR30.1_R01_2322.c	2.4	0.051688		False											[[-2.4000000953674316, 0.0, 0.0], [0.0, 2.4000000953674316, 0.0], [0.0, 0.0, 2.4000015258789062], [0.0, 0.0, 0.0]]	[[0.0, -1.0, 0.0, 89.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 59.0], [0.0, 0.0, 0.0, 1.0]]	[90, 90, 60, 450]	2.0	0.6	16.0						Flipped					
bold	000000000UM750MR	rest					RM:Nova32ch		0.03		0.000580764	52		[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'OTHER']	127.767035	COL	2D	3	GE	Discovery MR750	6.0				100.0	100.0	j			5555.56		research/ABCD/muxepi			90		0.8	SAT_GEMS\EDR_GEMS\MP_GEMS\EPI_GEMS\HYPERBAND_GEMS\PFF\FS	EP\RM	NONE	2.4	[0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64]	30\LX\SIGNA_LX1.MR30.1_R01_2322.c	2.4	0.051688		False											[[-2.4000000953674316, 0.0, 0.0], [0.0, 2.4000000953674316, 0.0], [0.0, 0.0, 2.4000015258789062], [0.0, 0.0, 0.0]]	[[0.0, -1.0, 0.0, 89.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 59.0], [0.0, 0.0, 0.0, 1.0]]	[90, 90, 60, 450]	2.0	0.6	16.0						Flipped					
bold	000000312996MR3T	cuff					RM:Nova32ch		0.03		0.000580764	52		[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'OTHER']	127.778981	COL	2D	3	GE	Discovery MR750	6.0				100.0	100.0	j			5555.56		research/ABCD/muxepi			90		0.8	SAT_GEMS\EDR_GEMS\MP_GEMS\EPI_GEMS\HYPERBAND_GEMS\PFF\FS	EP\RM	NONE	2.4	[0.64, 0.32, 0.72, 0.24, 0.56, 0.16, 0.48, 0.08, 0.4, 0, 0.64, 0.32, 0.72, 0.24, 0.56, 0.16, 0.48, 0.08, 0.4, 0, 0.64, 0.32, 0.72, 0.24, 0.56, 0.16, 0.48, 0.08, 0.4, 0, 0.64, 0.32, 0.72, 0.24, 0.56, 0.16, 0.48, 0.08, 0.4, 0, 0.64, 0.32, 0.72, 0.24, 0.56, 0.16, 0.48, 0.08, 0.4, 0, 0.64, 0.32, 0.72, 0.24, 0.56, 0.16, 0.48, 0.08, 0.4, 0]	30\LX\SIGNA_LX1.MR30.1_R04_2421.a	2.4	0.051688		False											[[-2.4000000953674316, 0, 0], [0, 2.4000000953674316, 0], [0, 0, 2.4000015258789062], [0, 0, 0]]	[[0, -1, 0, 89], [1, 0, 0, 0], [0, 0, -1, 59], [0, 0, 0, 1]]	[90, 90, 60, 450]	2.0	0.6	16.0						Flipped					
bold	000000312996MR3T	rest					RM:Nova32ch		0.03		0.000580764	52		[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'OTHER']	127.778974	COL	2D	3	GE	Discovery MR750	6.0				100.0	100.0	j			5555.56		research/ABCD/muxepi			90		0.8	SAT_GEMS\EDR_GEMS\MP_GEMS\EPI_GEMS\HYPERBAND_GEMS\PFF\FS	EP\RM	NONE	2.4	[0.64, 0.32, 0.72, 0.24, 0.56, 0.16, 0.48, 0.08, 0.4, 0, 0.64, 0.32, 0.72, 0.24, 0.56, 0.16, 0.48, 0.08, 0.4, 0, 0.64, 0.32, 0.72, 0.24, 0.56, 0.16, 0.48, 0.08, 0.4, 0, 0.64, 0.32, 0.72, 0.24, 0.56, 0.16, 0.48, 0.08, 0.4, 0, 0.64, 0.32, 0.72, 0.24, 0.56, 0.16, 0.48, 0.08, 0.4, 0, 0.64, 0.32, 0.72, 0.24, 0.56, 0.16, 0.48, 0.08, 0.4, 0]	30\LX\SIGNA_LX1.MR30.1_R04_2421.a	2.4	0.051688		False											[[-2.4000000953674316, 0, 0], [0, 2.4000000953674316, 0], [0, 0, 2.4000015258789062], [0, 0, 0]]	[[0, -1, 0, 89], [1, 0, 0, 0], [0, 0, -1, 59], [0, 0, 0, 1]]	[90, 90, 60, 450]	2.0	0.6	16.0						Flipped					
